"","Symbol","Bid.Price","Ask.Price","High","Low","TimeStamp"
"14902","EUR/USD",1.12237,1.12241,1.12329,1.12057,2020-06-26 04:12:29
"14903","EUR/USD",1.12237,1.12241,1.12329,1.12057,2020-06-26 04:13:31
"14904","EUR/USD",1.12231,1.12238,1.12329,1.12057,2020-06-26 04:14:33
"14905","EUR/USD",1.12231,1.12237,1.12329,1.12057,2020-06-26 04:15:33
"14906","EUR/USD",1.12231,1.12237,1.12329,1.12057,2020-06-26 04:16:35
"14907","EUR/USD",1.12244,1.12249,1.12329,1.12057,2020-06-26 04:17:36
"14908","EUR/USD",1.12254,1.12258,1.12329,1.12057,2020-06-26 04:18:36
"14909","EUR/USD",1.12246,1.12249,1.12329,1.12057,2020-06-26 04:19:37
"14910","EUR/USD",1.12246,1.12251,1.12329,1.12057,2020-06-26 04:20:38
"14911","EUR/USD",1.12246,1.12251,1.12329,1.12057,2020-06-26 04:21:39
"14912","EUR/USD",1.12246,1.12251,1.12329,1.12057,2020-06-26 04:22:40
"14913","EUR/USD",1.12244,1.12249,1.12329,1.12057,2020-06-26 04:23:36
"14914","EUR/USD",1.12256,1.12261,1.12329,1.12057,2020-06-26 04:24:41
"14915","EUR/USD",1.12261,1.12266,1.12329,1.12057,2020-06-26 04:25:42
"14916","EUR/USD",1.12254,1.12259,1.12329,1.12057,2020-06-26 04:26:43
"14917","EUR/USD",1.12251,1.12257,1.12329,1.12057,2020-06-26 04:27:43
"14918","EUR/USD",1.12251,1.12255,1.12329,1.12057,2020-06-26 04:28:42
"14919","EUR/USD",1.12253,1.12258,1.12329,1.12057,2020-06-26 04:29:41
"14920","EUR/USD",1.12243,1.12248,1.12329,1.12057,2020-06-26 04:30:46
"14921","EUR/USD",1.1224,1.12245,1.12329,1.12057,2020-06-26 04:31:45
"14922","EUR/USD",1.12241,1.12245,1.12329,1.12057,2020-06-26 04:32:47
"14923","EUR/USD",1.12236,1.12239,1.12329,1.12057,2020-06-26 04:33:48
"14924","EUR/USD",1.12236,1.12239,1.12329,1.12057,2020-06-26 04:34:50
"14925","EUR/USD",1.1224,1.12245,1.12329,1.12057,2020-06-26 04:35:49
"14926","EUR/USD",1.12243,1.12248,1.12329,1.12057,2020-06-26 04:36:51
"14927","EUR/USD",1.12246,1.12252,1.12329,1.12057,2020-06-26 04:37:51
"14928","EUR/USD",1.12241,1.12247,1.12329,1.12057,2020-06-26 04:38:52
"14929","EUR/USD",1.12247,1.12251,1.12329,1.12057,2020-06-26 04:39:54
"14930","EUR/USD",1.12246,1.12251,1.12329,1.12057,2020-06-26 04:40:54
"14931","EUR/USD",1.12246,1.12251,1.12329,1.12057,2020-06-26 04:41:55
"14932","EUR/USD",1.12247,1.12251,1.12329,1.12057,2020-06-26 04:42:56
"14933","EUR/USD",1.12246,1.12251,1.12329,1.12057,2020-06-26 04:43:57
"14934","EUR/USD",1.1225,1.12255,1.12329,1.12057,2020-06-26 04:44:58
"14935","EUR/USD",1.12247,1.12251,1.12329,1.12057,2020-06-26 04:46:01
"14936","EUR/USD",1.12241,1.12247,1.12329,1.12057,2020-06-26 04:47:03
